Year,cd,Bachelors_degree_or_higher
2021,8_MN,135018
2021,8_MO,99726
2021,8_NC,108596
2021,8_NJ,109405
2021,8_NY,146445
2021,8_OH,78814
2021,8_PA,97393
2021,8_TN,53227
2021,8_TX,172336
2021,8_VA,375194
2021,8_WA,88271
2021,8_WI,98908
2021,9_AZ,137317
2021,9_CA,111252
2021,9_FL,88381
2021,9_GA,100244
2021,9_IL,203706
2021,9_IN,134634
2021,9_MA,163817
2021,9_MI,150010
2021,9_NC,196880
2021,9_NJ,163205
2021,9_NY,71198
2021,9_OH,133167
2021,9_PA,128094
2021,9_TN,184482
2021,9_TX,262849
2021,9_VA,113316
2021,9_WA,318219
